date,isEdited,userName,review,rating,title,developerResponse
2019-04-07 23:48:26,False,thrmsdl73,습관만드는데 도움이 되네요:),5,VERY GOOD!,
2021-06-19 13:23:47,False,푸푸푸푸리리리리,건물 세우는 재미가 쏠쏠하네영,5,좋아용,
2019-07-21 20:39:43,False,heewoo2185,수면 일정하게 유지시켜주는 좋은 앱!,5,좋아요,
2019-10-08 22:11:39,False,씨트릿,소리가 너무 작네요.. 소리크기ㅜ개선해주세요,4,알람기능,
2019-04-01 23:04:54,False,owieuhns,"유료 어플은 처음인데
아주 잘 사용하고 있어요
벌써 23일째 연속 성공 중입니다

추가적으로 일어날때 게임같은게 조금 더 어려웠으면 해요
잠이 확 안깨서 비몽사몽으로 집 확인할때가 많거든요",5,올바른 수면 습관 만들어주는 좋은 어플!,
2022-08-16 14:47:31,False,스느드,수면습관 만들기 좋은것같아요👍🏻,5,후기,
2019-05-08 12:31:26,False,검암용용,매우 만족합니다,5,슬립타운 꾸준히 하게 되여,
2017-12-21 16:39:35,False,ㄷㅇㄷ우,"더 꾸밀수있게 해주세요
요일별 설정 있으면 좋겠어요",5,좋아요,
2019-05-05 16:38:22,False,leedomy89,추천합니다,5,애착을 갖고 이용하게 되는 앱,
2019-04-15 15:16:10,False,찬찬222,"오늘부터 시작해보랴구여
제발 일찍 잘 수 있디를",3,아직 안써봤는데 조아요,
2022-07-18 22:01:03,False,아이폰이이포씩스플러스,강제로 셧다운되면 더 좋을거같아요,4,좋은듯,
2019-04-12 23:30:46,False,hahahahahahahara,생활 패턴 돌려놓는데 최고입니다!,5,좋아요!!,
2019-07-28 22:03:58,False,ganymedian,수면패턴 잡는데 늘 힘들었는데 동기부여 하기 좋아요!,5,좋아요,
2019-07-28 10:53:03,False,yeoni(여니),잘쓰고 있습니다!,5,너무 조아요!❤️❤️,
2019-04-06 15:00:14,False,jja715,어플 디자인들이 너무 귀여워요!,4,잘사용할게요,
2021-01-07 16:17:41,False,감귤깡,"정말 좋아요 하지만 소셜서클을 하나가 아니라 여러개 가입 할 수 있게 해주셨으면 좋겠습니다
병경도 변경으로 오타 수정해주셨으면 합니다
그 외에는 너무 만족해요!! 정말 훌륭한 앱인 것 같아요
I wanna join a variety of social circle!
And I wanna revise the typo “병경”➡️”변경”
Thx!!💕",4,Goooooooooooood,
2019-04-27 21:40:19,False,Djsjssk,은근 동기부여 강하게 되네요!,5,좋아요ㅎㅎ,
2019-04-26 21:13:42,False,룬루아야,포레스트 쓰고 좋아서 이것도 구입했어요.,5,좋아요,
2021-04-12 04:59:48,False,rin heo,일상생활 습관에 대한 도움됩니다~,5,좋습니다,
2019-06-07 06:54:00,False,서울사랑,밤늦게 핸드폰 보는 습관이 없어졌어요,5,최고에요,
2019-04-25 22:46:14,False,kicas988,제가 건물을 부숴먹는것만 빼고...😂,5,좋아요,
2019-05-01 02:27:18,False,고냥이고냥이,집이 아기자기해서 모으고 싶은 마음이 생겨요ㅋㅋ,4,귀여워요,
2020-07-04 01:49:02,False,드르렁드르렁드르렁대,ㅇ하동문,5,포레스트도 하는데 겁나좋음,
2018-11-19 10:54:40,False,G1::,"중국어에서 영어로 바꿀 수 있는 방법이 없나요?
다시 재설치해도 똑같네요",1,"가족공유해서 받았는데, 중국어로 나와요","{'id': 6023233, 'body': 'Hi,\nPlease go to your phone Settings > General > Languages, and remove the undesired languages from the Preferred Languages section.\nFeel free to contact us again if you have other questions. :) - Forest', 'modified': '2018-11-20T10:25:06Z'}"
2020-08-14 01:58:10,False,라걀영,아이폰 아이패드 연동 되었으면 좋겠네요,4,애플 연동,
2020-05-19 13:03:50,False,최그래,마을만들고싶어서 시간맞춰 자게댐 ㅋㅋ,5,마을만드는 재미,
2019-07-22 02:08:53,False,샤몽샤몽,귀엽고 키우는 맛이있네요,5,덕분에 꿀잠자요,
